Screaming Circuits SMD component position file.
Created by Centroid_ScreamingCircuits_smd.ulp 1.2.0.

Centroid Data for pc board: "DomoMod.brd" as of: 05/02/2018 0:37:51
Measurements are in inches. Comma delimited
Only surface mount components included

RefDes,Layer,LocationX,LocationY,Rotation
ADR1,Bottom,0.118,1.094,180
ADR2,Bottom,0.276,1.094,180
C1,Bottom,0.846,0.531,0
C2,Bottom,0.551,0.531,0
C3,Bottom,1.890,0.689,0
C4,Bottom,1.890,0.591,0
C5,Bottom,1.850,1.004,180
C6,Bottom,1.693,1.102,0
C7,Bottom,2.165,0.846,90
C8,Bottom,2.114,0.728,180
C9,Bottom,1.575,0.787,270
C10,Bottom,1.535,0.906,180
Q1,Bottom,0.315,0.689,90
Q2,Bottom,0.315,0.846,90
R1,Bottom,2.677,0.768,0
R2,Bottom,0.551,0.256,180
R3,Bottom,0.118,0.846,90
R4,Bottom,0.492,0.846,90
R5,Bottom,0.118,0.689,90
R6,Bottom,0.492,0.669,90
R7,Bottom,2.795,0.610,180
R8,Bottom,2.795,0.492,180
R9,Bottom,2.795,0.394,180
R10,Bottom,1.850,1.102,0
R11,Bottom,2.067,0.846,90
R12,Bottom,1.732,0.689,180
R13,Bottom,1.496,0.787,270
R14,Bottom,0.709,0.394,270
R15,Bottom,0.394,0.394,270
R16,Bottom,0.846,0.256,0
R17,Bottom,1.693,1.004,0
T1,Bottom,2.677,0.906,0
U1,Bottom,1.811,0.846,0
U2,Top,0.551,0.413,0
U3,Top,0.846,0.394,0
